"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2238","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274838","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Apr-2026","Sidhu Cemet Store","Payment Success","48750"
"2239","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/268813","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Apr-2026","Sidhu Cemet Store","Payment Success","183360"
"2240","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/268813","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Apr-2026","Baba fateh Singh Tile Factory","Payment Success","501259"
"2241","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/277160","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","23-Jul-2026","Baba fateh Singh Tile Factory","Payment Success","6125"
"2242","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/277160","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Jun-2026","Baba fateh Singh Tile Factory","Payment Success","148850"
"2243","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/268813","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Apr-2026","Chakor Singh","Payment Success","192501"
"2244","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/268813","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Apr-2026","Chakor Singh","Payment Success","122880"
"2245","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Mohan Lal so Sadhu Ram","Payment Success","6000"
"2246","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Mohan Lal so Sadhu Ram","Payment Success","6400"
"2247","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Mohan Lal so Sadhu Ram","Payment Success","6400"
"2248","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Subhash Chand so Mangal Dass","Payment Success","6400"
"2249","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Subhash Chand so Mangal Dass","Payment Success","6250"
"2250","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Subhash Chand so Mangal Dass","Payment Success","5000"
"2251","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Narinder Kumar so Jagdish Ram","Payment Success","6400"
"2252","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Yogeshwar Singh so Roshan Lal Parmar","Payment Success","18000"
"2253","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Yogeshwar Singh so Roshan Lal Parmar","Payment Success","5600"
"2254","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Yogeshwar Singh so Roshan Lal Parmar","Payment Success","4000"
"2255","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Yogeshwar Singh so Roshan Lal Parmar","Payment Success","22000"
"2256","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Yogeshwar Singh so Roshan Lal Parmar","Payment Success","7600"
"2257","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Braham Dass so Sadhu Ram","Payment Success","6400"
"2258","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Braham Dass so Sadhu Ram","Payment Success","6600"
"2259","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Braham Dass so Sadhu Ram","Payment Success","7500"
"2260","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Sukhdev Singh so Jit Ram","Payment Success","9000"
"2261","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Sukhdev Singh so Jit Ram","Payment Success","3500"
"2262","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Sukhdev Singh so Jit Ram","Payment Success","6400"
"2263","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Sukhdev Singh so Jit Ram","Payment Success","3000"
"2264","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Mukesh Kumar","Payment Success","4400"
"2265","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Gurmail Chand So Chint Ram","Payment Success","6600"
"2266","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Ram Dev so Kartara Ram","Payment Success","5000"
"2267","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Balwant Singh so Teju Ram","Payment Success","8000"
"2268","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Balwant Singh so Teju Ram","Payment Success","10500"
"2269","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Balwant Singh so Teju Ram","Payment Success","10800"
"2270","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Balwant Singh so Teju Ram","Payment Success","4200"
"2271","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","09-Apr-2026","LABH SINGH","Payment Success","105600"
"2272","Haryana","Construction of rooms and halls in school and colleges","WS/MP18425/2025-2026/202244","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","09-Apr-2026","LAL SINGH","Payment Success","162100"
"2273","Haryana","Construction of toilet blocks","WS/MP18425/2025-2026/202260","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","29-Apr-2026","ASHWANI IRON AND HARDWARE STORE","Payment Success","35000"
"2274","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP204/2025-2026/240524","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","18-Apr-2026","Lokesh Prasade","Payment Success","256294"
"2275","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18427/2025-2026/264381","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","15-Apr-2026","BUTURU VENKATAKRISHNA REDDY","Payment Success","1997368"
"2276","Madhya Pradesh","Construction of shelters for animals","WS/MP18297/2025-2026/232673","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","24-Mar-2026","NAWAKHEDA","Payment Success","800000"
"2277","Gujarat","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18291/2025-2026/245566","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","18-Jun-2026","SHREE GANESH INFOTECH","Payment Success","2499804"
"2278","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2026-2027/145292","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","19-May-2026","K MOHANRAJ","Payment Success","1216240"
"2279","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18297/2025-2026/259020","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","29-Jun-2026","SURJANWASA","Payment Success","600000"
"2280","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/MP18297/2025-2026/244825","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","25-Mar-2026","GRAM PANCHAYAT BARUKHEDI","Payment Success","500000"
"2281","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268847","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","G JEWAN MALL SS SCHOOL ZIRA","Payment Success","600000"
"2282","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268778","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS SARAN WALI","Payment Success","100000"
"2283","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268779","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS ITTA WALI","Payment Success","100000"
"2284","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268780","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Jun-2026","GPS LAPPO","Payment Success","100000"
"2285","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268781","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GMS CHAK JAMIT SINGH WALA","Payment Success","100000"
"2286","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268815","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Jun-2026","GPS FATEHGARH GEHRI","Payment Success","100000"
"2287","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268817","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS CHANGA RAI","Payment Success","100000"
"2288","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268820","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS LALLE","Payment Success","100000"
"2289","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268821","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS MANU MASSHIAN","Payment Success","100000"
"2290","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268823","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS AMIR SHA WALA","Payment Success","100000"
"2291","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268827","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","27-May-2026","GPS BORAN WALI","Payment Success","100000"
"2292","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268828","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GSSS BEHAK GUJJRAN","Payment Success","800000"
"2293","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268830","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","19-May-2026","GMS JODHPUR","Payment Success","100000"
"2294","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268831","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Gps Chak Dona Rahime Ke","Payment Success","100000"
"2295","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268832","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GMS SAIDE KE NAUL","Payment Success","100000"
"2296","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268834","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","GPS ALFU KE","Payment Success","100000"
"2297","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268756","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS BASTI TAINKA WALI","Payment Success","100000"
"2298","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268758","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS ARIF KE","Payment Success","100000"
"2299","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268759","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","21-May-2026","GPS NIZAM WALA","Payment Success","100000"
"2300","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268760","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS GULAM HUSSAIN WALA","Payment Success","100000"
"2301","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268762","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS WAHGE WALA","Payment Success","100000"
"2302","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268763","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS KUTBE WALA","Payment Success","100000"
"2303","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268764","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS KAMALDIN","Payment Success","100000"
"2304","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268765","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-May-2026","GPS KARMU WALA","Payment Success","100000"
"2305","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268766","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","28-May-2026","GPS KULGARI","Payment Success","100000"
"2306","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268767","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS LALLE Ghall khurd block","Payment Success","100000"
"2307","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268768","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS THETHAR KALAN","Payment Success","100000"
"2308","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268770","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS SADHU WALA","Payment Success","100000"
"2309","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268771","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS MASHI BUGRA","Payment Success","100000"
"2310","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268772","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS SULHANI","Payment Success","100000"
"2311","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268774","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS LOHAM","Payment Success","100000"
"2312","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268773","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","27-May-2026","GPS GHALL KHURAD","Payment Success","100000"
"2313","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268775","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GMS SULHANI","Payment Success","100000"
"2314","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268776","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GMS THETHAR KALAN","Payment Success","100000"
"2315","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268837","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GMS RATTA KHRA","Payment Success","100000"
"2316","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268838","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GMS SEHZADI","Payment Success","100000"
"2317","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268839","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS TALWANDI MANGE KHAN","Payment Success","100000"
"2318","Rajasthan","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18298/2025-2026/254941","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","14-May-2026","JHALANI MOTORS","Payment Success","91889"
"2319","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAJEEV BAHUGUNA","Payment Success","4740"
"2320","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAJEEV BAHUGUNA","Payment Success","6399"
"2321","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAHUL BHAUGUNA","Payment Success","6399"
"2322","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAHUL BHAUGUNA","Payment Success","4740"
"2323","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","PREM KUMAR","Payment Success","4740"
"2324","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","PREM KUMAR","Payment Success","6399"
"2325","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","SAPANA JOSHI","Payment Success","6399"
"2326","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","SAPANA JOSHI","Payment Success","4740"
"2327","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","DEEPAK PRASAD","Payment Success","4740"
"2328","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","DEEPAK PRASAD","Payment Success","6399"
"2329","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2025-2026/195649","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","25-Mar-2026","MAHENDRA KUMAR AMAT","Payment Success","400000"
