Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Elected/Nominated,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
2683,Punjab,Construction of community centers and community halls,WS/MP843/2025-2026/239579,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),Dr. Ashok Kumar Mittal (2022-28) (2022-2028),Elected MP,,MAMTA RANI,Payment Success,59500
2684,Punjab,Construction of community centers and community halls,WS/MP843/2025-2026/239579,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),Dr. Ashok Kumar Mittal (2022-28) (2022-2028),Elected MP,,MAMTA RANI,Payment Success,101430
2685,Punjab,Construction of community centers and community halls,WS/MP843/2025-2026/239579,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),Dr. Ashok Kumar Mittal (2022-28) (2022-2028),Elected MP,,MAMTA RANI,Payment Success,27000
2686,Punjab,Construction of stadiums,WS/MP141/2025-2026/250689,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,,KK Constructions,Payment Success,1170152
2687,Punjab,Construction of stadiums,WS/MP141/2025-2026/250689,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,,KK Constructions,Payment Success,1062926
2688,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18407/2025-2026/236732,GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA),Shri Manan Kumar Mishra (2024-28) (2024-2028),Elected MP,,Arjun ray,Payment Success,996445
2689,Chhattisgarh,Construction of culverts and bridges,WS/MP176/2025-2026/264721,SURGUJA(Collector Surguja_IDA),Shri Rajeev Shukla (2022-28) (2022-2028),Elected MP,,Gram panchayat Puta,Payment Success,1750000
2690,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18316/2025-2026/248616,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),Smt. Maya Naroliya (2024-30) (2024-2030),Elected MP,,Hinoti Sadak,Payment Success,350000
2691,Madhya Pradesh,Construction of community centers and community halls,WS/MP104/2025-2026/266697,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),Dr. L. Murugan (2024-30) (2024-2030),Elected MP,,Barodi,Payment Success,1680000
2692,Punjab,Construction of community centers and community halls,WS/MP843/2025-2026/239579,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),Dr. Ashok Kumar Mittal (2022-28) (2022-2028),Elected MP,,JAI LAXMI BRICKS,Payment Success,35000
2693,Punjab,Construction of community centers and community halls,WS/MP843/2025-2026/239579,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),Dr. Ashok Kumar Mittal (2022-28) (2022-2028),Elected MP,,JAI LAXMI BRICKS,Payment Success,21000
2694,Punjab,Construction of community centers and community halls,WS/MP843/2025-2026/239579,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),Dr. Ashok Kumar Mittal (2022-28) (2022-2028),Elected MP,,MS JAI JAGDAMBEY EARTH MOVERS,Payment Success,45360
2695,Punjab,Construction of community centers and community halls,WS/MP843/2025-2026/239579,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),Dr. Ashok Kumar Mittal (2022-28) (2022-2028),Elected MP,,MS JAI JAGDAMBEY EARTH MOVERS,Payment Success,50400
2696,Punjab,Construction of community centers and community halls,WS/MP843/2025-2026/239579,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),Dr. Ashok Kumar Mittal (2022-28) (2022-2028),Elected MP,,R K ELECTRICALS,Payment Success,56433
