Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Elected/Nominated,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date
2794,Normal/Others,WS/MP180/2023-2024/80475-Street lights,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Dr. K. Laxman (2022-28) (2022-2028),Elected MP,New high mast light,2024-01-11,124937,2024-02-29
2795,Normal/Others,WS/MP180/2023-2024/80476-Street lights,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Dr. K. Laxman (2022-28) (2022-2028),Elected MP,New high mast light,2024-01-11,124937,2024-02-29
2796,Normal/Others,WS/MP180/2023-2024/80477-Street lights,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Dr. K. Laxman (2022-28) (2022-2028),Elected MP,New high mast light,2024-01-11,124937,2024-02-29
2797,Normal/Others,WS/MP180/2023-2024/80478-Street lights,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Dr. K. Laxman (2022-28) (2022-2028),Elected MP,New high mast light,2024-01-11,124925,2024-02-29
2798,Normal/Others,WS/MP141/2023-2024/80672-Construction of community centers and community halls,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,construction of balmik dharamshala,2024-01-12,500000,2024-02-05
2799,Normal/Others,WS/MP141/2023-2024/80673-Construction of community centers and community halls,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,Construction of community centers and community halls,2024-01-12,500000,2024-02-05
2800,Normal/Others,WS/MP141/2023-2024/80674-Construction of community centers and community halls,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,valmik dharamshala,2024-01-12,300000,2024-02-05
2801,Normal/Others,WS/MP141/2023-2024/80675-Construction of community centers and community halls,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,S.C. DHARAMSHALA,2024-01-12,300000,2024-02-05
2802,Normal/Others,WS/MP141/2023-2024/80676-Installation of multi-gym equipment,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,Installation of multi-gym equipment,2024-01-12,300000,2024-02-05
2803,Normal/Others,WS/MP141/2023-2024/80677-Construction of community centers and community halls,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,VALMIL DHARAMSHALA,2024-01-12,1000000,2024-02-05
2804,Normal/Others,WS/MP141/2023-2024/80678-Construction of community centers and community halls,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,VALMIK DHARAMSHALA,2024-01-12,300000,2024-02-05
2805,Normal/Others,WS/MP141/2023-2024/80679-Construction of community centers and community halls,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,VALMIK DHARAMSHALA,2024-01-12,300000,2024-02-05
2806,Normal/Others,WS/MP141/2023-2024/80680-Construction of community centers and community halls,Punjab,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,Construction of community centers and community halls,2024-01-12,300000,2024-02-05
