"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"246","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18108/2026-2027/287222","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","27-Aug-2026","MANISH FEBRICATION","Payment In-Progress","150229"
"247","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18108/2026-2027/287223","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","27-Aug-2026","MANISH FEBRICATION","Payment In-Progress","150229"
"248","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18108/2026-2027/287224","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","27-Aug-2026","MANISH FEBRICATION","Payment In-Progress","150229"
"249","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18108/2026-2027/287225","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","27-Aug-2026","MANISH FEBRICATION","Payment In-Progress","150229"
"250","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18108/2026-2027/287226","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","27-Aug-2026","MANISH FEBRICATION","Payment In-Progress","157341"
"251","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18108/2026-2027/287227","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","27-Aug-2026","MANISH FEBRICATION","Payment In-Progress","157341"
"252","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18221/2026-2027/255639","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","22-Aug-2026","Ms Krishna Traders","Payment In-Progress","725927"
"253","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18221/2026-2027/255640","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","22-Aug-2026","Ms Krishna Traders","Payment In-Progress","725927"
"254","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18221/2026-2027/246944","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","22-Aug-2026","Ms Krishna Traders","Payment In-Progress","725927"
"255","Bihar","Construction of common work sheds/ common covered sitting area","WS/MP18042/2026-2027/274820","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","SHAMBHAVI","SAMASTIPUR(SC)","18-Aug-2026","ASSISTANT ENGINEER KUSHESHWAR ASTHAN","Payment In-Progress","394259"
"256","Madhya Pradesh","Construction of community centers and community halls","WS/MP444/2025-2026/252365","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Durga Das Uikey","BETUL(ST)","20-Aug-2026","YADAV TRADERS","Payment In-Progress","75000"
"257","Jammu And Kashmir","Construction of public irrigation facilities","WS/MP18260/2025-2026/190483","PULWAMA(Deputy Commissioner  Pulwama_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","11-Aug-2026","Attar Brothers","Payment In-Progress","340600"
"258","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18339/2025-2026/249639","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","KARAN BHUSHAN SINGH","KAISERGANJ","09-Jul-2026","SRIJAN CONSTRUCTION","Payment In-Progress","2280018"
"259","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/143656","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","26-Aug-2026","PUNJAB CEMENT AND IRON STORE","Payment In-Progress","49700"
"260","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/143656","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","26-Aug-2026","PUNJAB CEMENT AND IRON STORE","Payment In-Progress","49000"
"261","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/143656","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","26-Aug-2026","PUNJAB CEMENT AND IRON STORE","Payment In-Progress","49700"
"262","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/143656","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","26-Aug-2026","PUNJAB CEMENT AND IRON STORE","Payment In-Progress","48300"
"263","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/143656","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","26-Aug-2026","PUNJAB CEMENT AND IRON STORE","Payment In-Progress","49000"
"264","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/143656","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","26-Aug-2026","PUNJAB CEMENT AND IRON STORE","Payment In-Progress","45500"
"265","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/143656","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","26-Aug-2026","PUNJAB CEMENT AND IRON STORE","Payment In-Progress","40161"
"266","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/143656","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","26-Aug-2026","PUNJAB CEMENT AND IRON STORE","Payment In-Progress","40000"
"267","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/143656","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","26-Aug-2026","PUNJAB CEMENT AND IRON STORE","Payment In-Progress","40000"
"268","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/143656","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","26-Aug-2026","PUNJAB CEMENT AND IRON STORE","Payment In-Progress","30000"
"269","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/183890","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","27-Aug-2026","Neog Hardware","Payment In-Progress","200000"
"270","Uttar Pradesh","Construction of buildings for community cultural activities","WS/MP18223/2026-2027/195629","SHAMLI(DISTRICT MAGISTRATE SHAMLI_IDA)","IQRA CHOUDHARY","KAIRANA","24-Aug-2026","MARUF ALI CONTRACTOR","Payment In-Progress","1322274"
"271","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18100/2026-2027/261394","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","25-Aug-2026","GRAM PANCHAYAT MAU","Payment In-Progress","40000"
"272","Uttarakhand","Purchase of training equipment","WS/MP477/2026-2027/290928","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","20-Aug-2026","JITAN SAH","Payment In-Progress","150000"
"273","Rajasthan","Setting up public non-conventional energy plants","WS/MP18165/2025-2026/247101","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","MANJU SHARMA","JAIPUR","21-Aug-2026","Rajasthan Electronics And Instruments Limited","Payment In-Progress","1000000"
"274","Rajasthan","Setting up public non-conventional energy plants","WS/MP18165/2025-2026/210687","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","MANJU SHARMA","JAIPUR","21-Aug-2026","Rajasthan Electronics And Instruments Limited","Payment In-Progress","1000000"
"275","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/MP18104/2025-2026/154234","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","22-Jan-2026","Khyati Sports","Payment In-Progress","25000"
"276","Bihar","Construction of public staircase/ stair ghat for public convenience","WS/MP18042/2026-2027/263185","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","SHAMBHAVI","SAMASTIPUR(SC)","13-Jul-2026","ASSISTANT ENGINEER HAYAGHAT","Payment In-Progress","597335"
"277","Bihar","Construction of public staircase/ stair ghat for public convenience","WS/MP18042/2026-2027/263187","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","SHAMBHAVI","SAMASTIPUR(SC)","15-Jul-2026","ASSISTANT ENGINEER HAYAGHAT","Payment In-Progress","794788"
"278","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2026-2027/272263","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","26-Aug-2026","KAILASH BRICK TRADERS","Payment In-Progress","31920"
"279","Bihar","Construction of public staircase/ stair ghat for public convenience","WS/MP417/2026-2027/284374","NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA)","Kaushalendra Kumar","NALANDA","19-Aug-2026","ASSISTANT ENGINEER HILSA A C","Payment In-Progress","398826"
"280","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP417/2026-2027/276187","NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA)","Kaushalendra Kumar","NALANDA","18-Aug-2026","ASSISTANT ENGINEER ISLAMPUR A C","Payment In-Progress","398886"
"281","Chhattisgarh","Construction of community centers and community halls","WS/MP18048/2025-2026/200477","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","MAHESH KASHYAP","BASTAR(ST)","25-Sep-2025","sarpanchgram panchayat gadiya","Payment In-Progress","450000"
"282","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241431","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","12-Aug-2026","SAI ENTERPRISES","Payment In-Progress","433258"
"283","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241424","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","12-Aug-2026","SAI ENTERPRISES","Payment In-Progress","537642"
"284","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18345/2025-2026/234721","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","AKHILESH YADAV","KANNAUJ","14-Aug-2026","DIVYANSHU CONSTRUCTION","Payment In-Progress","246562"
"285","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18100/2025-2026/179869","Pandhurna(District Collector Pandhurna_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","27-Aug-2026","Gram panchayat Ambada","Payment In-Progress","240000"
"286","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18107/2025-2026/261266","RATLAM(District Collector Ratlam_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","13-Jul-2026","PUNNIYAKHIDI","Payment In-Progress","148562"
